"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","10.1.18.23","192.30.255.117","TLSv1.2","97","Encrypted Alert"
"2","0.001662","10.1.18.23","192.30.255.117","TCP","66","49701  >  443 [FIN, ACK] Seq=32 Ack=1 Win=4096 Len=0 TSval=850298647 TSecr=407355988"
"3","0.023479","192.30.255.117","10.1.18.23","TCP","66","443  >  49701 [ACK] Seq=1 Ack=32 Win=31 Len=0 TSval=407363702 TSecr=850298647"
"4","0.023485","192.30.255.117","10.1.18.23","TLSv1.2","97","Encrypted Alert"
"5","0.023486","192.30.255.117","10.1.18.23","TCP","66","443  >  49701 [FIN, ACK] Seq=32 Ack=32 Win=31 Len=0 TSval=407363702 TSecr=850298647"
"6","0.023581","10.1.18.23","192.30.255.117","TCP","54","49701  >  443 [RST] Seq=32 Win=0 Len=0"
"7","0.023581","10.1.18.23","192.30.255.117","TCP","54","49701  >  443 [RST] Seq=32 Win=0 Len=0"
"8","0.023931","192.30.255.117","10.1.18.23","TCP","66","443  >  49701 [ACK] Seq=33 Ack=33 Win=31 Len=0 TSval=407363702 TSecr=850298647"
"9","0.023984","10.1.18.23","192.30.255.117","TCP","54","49701  >  443 [RST] Seq=33 Win=0 Len=0"
"10","5.140014","192.30.253.125","10.1.18.23","TLSv1.2","97","Application Data"
"11","5.140087","10.1.18.23","192.30.253.125","TCP","66","49485  >  443 [ACK] Seq=1 Ack=32 Win=4095 Len=0 TSval=850303781 TSecr=2008913208"
"12","5.141364","10.1.18.23","192.30.253.125","TLSv1.2","101","Application Data"
"13","5.218884","192.30.253.125","10.1.18.23","TCP","66","443  >  49485 [ACK] Seq=32 Ack=36 Win=31 Len=0 TSval=2008913246 TSecr=850303782"
"14","8.622269","192.30.253.124","10.1.18.23","TLSv1.2","97","Application Data"
"15","8.622275","192.30.253.124","10.1.18.23","TLSv1.2","97","Application Data"
"16","8.622351","10.1.18.23","192.30.253.124","TCP","66","49271  >  443 [ACK] Seq=1 Ack=32 Win=4095 Len=0 TSval=850307260 TSecr=2008914077"
"17","8.622351","10.1.18.23","192.30.253.124","TCP","66","49281  >  443 [ACK] Seq=1 Ack=32 Win=4095 Len=0 TSval=850307260 TSecr=2008914078"
"18","8.623097","10.1.18.23","192.30.253.124","TLSv1.2","101","Application Data"
"19","8.623247","10.1.18.23","192.30.253.124","TLSv1.2","101","Application Data"
"20","8.702098","192.30.253.124","10.1.18.23","TCP","66","443  >  49281 [ACK] Seq=32 Ack=36 Win=31 Len=0 TSval=2008914117 TSecr=850307260"
